date,price
2021-10-01,47000.0
2021-10-02,47779.75
2021-10-03,48546.88
2021-10-04,49301.44
2021-10-05,50043.52
2021-10-06,50773.16
2021-10-07,51490.45
2021-10-08,52195.44
2021-10-09,52888.21
2021-10-10,53568.82
2021-10-11,54237.33
2021-10-12,54893.82
2021-10-13,55538.34
2021-10-14,56170.98
2021-10-15,56791.79
2021-10-16,57400.83
2021-10-17,57998.19
2021-10-18,58583.92
2021-10-19,59158.08
2021-10-20,59720.76
2021-10-21,60272.01
2021-10-22,60811.89
2021-10-23,61340.49
2021-10-24,61857.86
2021-10-25,62364.06
2021-10-26,62859.18
2021-10-27,63343.26
2021-10-28,63816.39
2021-10-29,64278.63
2021-10-30,64730.03
2021-10-31,65170.68
2021-11-01,65600.63
2021-11-02,66019.96
2021-11-03,66428.72
2021-11-04,66827.0
2021-11-05,67214.84
2021-11-06,67592.33
2021-11-07,67959.52
2021-11-08,68316.48
2021-11-09,68663.29
2021-11-10,69000.0
2021-11-11,69326.68
2021-11-12,69643.41
2021-11-13,69950.24
2021-11-14,70247.24
2021-11-15,70534.48
2021-11-16,70812.03
2021-11-17,71079.95
2021-11-18,71338.31
2021-11-19,71587.18
2021-11-20,71826.62
2021-11-21,72056.7
2021-11-22,72277.48
2021-11-23,72489.04
2021-11-24,72691.44
2021-11-25,72884.74
2021-11-26,73069.02
2021-11-27,73244.34
2021-11-28,73410.76
2021-11-29,73568.35
2021-11-30,73717.19
2021-12-01,73857.33
2021-12-02,73988.84
2021-12-03,74111.79
2021-12-04,74226.25
2021-12-05,74332.28
2021-12-06,74429.95
2021-12-07,74519.33
2021-12-08,74600.48
2021-12-09,74673.46
2021-12-10,74738.36
2021-12-11,74795.22
2021-12-12,74844.13
2021-12-13,74885.14
2021-12-14,74918.32
2021-12-15,74943.75
2021-12-16,74961.47
2021-12-17,74971.57
2021-12-18,74974.11
2021-12-19,74969.16
2021-12-20,74956.78
2021-12-21,74937.03
2021-12-22,74910.0
2021-12-23,74875.73
2021-12-24,74834.31
2021-12-25,74785.78
2021-12-26,74730.24
2021-12-27,74667.73
2021-12-28,74598.32
2021-12-29,74522.09
2021-12-30,74439.1
2021-12-31,74349.41
2022-01-01,74253.1
2022-01-02,74150.22
2022-01-03,74040.85
2022-01-04,73925.05
2022-01-05,73802.89
2022-01-06,73674.44
2022-01-07,73539.75
2022-01-08,73398.91
2022-01-09,73251.97
2022-01-10,73099.01
2022-01-11,72940.08
2022-01-12,72775.26
2022-01-13,72604.61
2022-01-14,72428.19
2022-01-15,72246.09
2022-01-16,72058.35
2022-01-17,71865.06
2022-01-18,71666.27
2022-01-19,71462.05
2022-01-20,71252.47
2022-01-21,71037.59
2022-01-22,70817.49
2022-01-23,70592.23
2022-01-24,70361.87
2022-01-25,70126.48
2022-01-26,69886.13
2022-01-27,69640.88
2022-01-28,69390.81
2022-01-29,69135.98
2022-01-30,68876.45
2022-01-31,68612.29
2022-02-01,68343.57
2022-02-02,68070.36
2022-02-03,67792.72
2022-02-04,67510.71
2022-02-05,67224.41
2022-02-06,66933.89
2022-02-07,66639.2
2022-02-08,66340.41
2022-02-09,66037.6
2022-02-10,65730.82
2022-02-11,65420.15
2022-02-12,65105.66
2022-02-13,64787.4
2022-02-14,64465.44
2022-02-15,64139.86
2022-02-16,63810.71
2022-02-17,63478.07
2022-02-18,63142.0
2022-02-19,62802.57
2022-02-20,62459.84
2022-02-21,62113.89
2022-02-22,61764.77
2022-02-23,61412.56
2022-02-24,61057.31
2022-02-25,60699.11
2022-02-26,60338.01
2022-02-27,59974.08
2022-02-28,59607.39
2022-03-01,59238.01
2022-03-02,58866.0
2022-03-03,58491.42
2022-03-04,58114.35
2022-03-05,57734.85
2022-03-06,57352.98
2022-03-07,56968.83
2022-03-08,56582.44
2022-03-09,56193.89
2022-03-10,55803.24
2022-03-11,55410.57
2022-03-12,55015.93
2022-03-13,54619.4
2022-03-14,54221.04
2022-03-15,53820.92
2022-03-16,53419.1
2022-03-17,53015.65
2022-03-18,52610.64
2022-03-19,52204.14
2022-03-20,51796.2
2022-03-21,51386.91
2022-03-22,50976.31
2022-03-23,50564.49
2022-03-24,50151.51
2022-03-25,49737.42
2022-03-26,49322.31
2022-03-27,48906.24
2022-03-28,48489.27
2022-03-29,48071.48
2022-03-30,47652.92
2022-03-31,47233.66
2022-04-01,46813.78
2022-04-02,46393.33
2022-04-03,45972.39
2022-04-04,45551.01
2022-04-05,45129.28
